主催団体,プログラム名,分野カテゴリ,開催日,開始時刻,終了時刻,実受講時間,開催形式,開催場所,region_pref,費用,会員限定有無,申込期限,公式情報URL,掲載確認日
一般財団法人 日本建築センター,技術セミナー「構造設計シリーズ／RC造編」（基礎Ⅰコース）（2日間）,構造,2026-06-04,09:30,17:00,13.0h,対面,東京天理ビル 日本建築センター3階会議室（東京都千代田区神田錦町1-9）,東京都,"一般48,950円／会員41,850円（テキスト込・税込）",一般参加可,2026-06-02,https://www.bcj.or.jp/seminar/detail/812/,2026-05-24
公益社団法人 地盤工学会,圧密に関する基礎知識とその応用講習会,地盤・基礎,2026-06-19,10:00,17:30,6.0h,オンライン,オンライン（Zoom）,オンライン,"会員12,000円／非会員18,000円",一般参加可,2026-06-12,https://www.jiban.or.jp/?page_id=25916,2026-05-24
公益社団法人 地盤工学会,フレッシャーズのための『続・土質力学』講習会,地盤・基礎,2026-06-23,10:00,17:50,-,ハイブリッド,地盤工学会大会議室（東京都文京区）またはオンライン,東京都,"会員10,000円／非会員18,000円",一般参加可,2026-06-16,https://www.jiban.or.jp/?page_id=26205,2026-05-24
一般財団法人 日本建築センター,五十田博先生の木構造セミナー,構造,2026-06-30,15:00,17:00,2.0h,ハイブリッド,東京天理ビル 日本建築センター3階会議室（東京都千代田区）またはオンライン,東京都,"一般8,800円／会員7,700円（税込）",一般参加可,2026-06-25,https://www.bcj.or.jp/seminar/detail/816/,2026-05-24
一般財団法人 日本建築センター,「建築物の防火避難規定の解説2025（第２版）」講習会（東京）,法規・倫理,2026-07-02,10:00,17:00,7.0h,ハイブリッド,東京天理ビル 日本建築センター3階会議室（東京都千代田区）またはオンライン,東京都,"一般19,800円／会員17,600円（税込）",一般参加可,2026-06-23,https://www.bcj.or.jp/seminar/detail/817/,2026-05-24
公益社団法人 日本建築学会,「鋼構造塑性設計指針」改定講習会,構造,2026-07-28,-,-,-,ハイブリッド,建築会館ホール（東京都港区芝5-26-20）またはオンライン（動画配信）,東京都,"会員13,000円／後援団体15,000円／会員外18,000円（税込）",一般参加可,2026-07-23,https://www.aij.or.jp/event/detail.html?productId=716063,2026-05-24
公益社団法人 地盤工学会,わかりやすい地盤工学基礎シリーズ講習会（第1日）,地盤・基礎,2026-08-18,09:00,17:45,7.5h,オンライン,オンライン（Zoom）,オンライン,"会員10,000円／非会員16,000円（1日参加）",一般参加可,2026-08-05,https://www.jiban.or.jp/?page_id=26335,2026-05-24
公益社団法人 地盤工学会,わかりやすい地盤工学基礎シリーズ講習会（第2日）,地盤・基礎,2026-08-27,09:00,16:15,6.0h,オンライン,オンライン（Zoom）,オンライン,"会員10,000円／非会員16,000円（1日参加）",一般参加可,2026-08-20,https://www.jiban.or.jp/?page_id=26335,2026-05-24
公益社団法人 地盤工学会,わかりやすい地盤工学基礎シリーズ講習会（第3日）,地盤・基礎,2026-09-08,10:00,17:10,6.0h,オンライン,オンライン（Zoom）,オンライン,"会員10,000円／非会員16,000円（1日参加）",一般参加可,2026-09-01,https://www.jiban.or.jp/?page_id=26335,2026-05-24
